tradeDate,open,high,low,close,amount,vol
19991110,2950,2980,2700,2775,174085000,485910220800
19991111,2758,2838,2753,2771,29403400,82158220800
19991112,2786,2830,2777,2805,15007900,42159161600
19991115,2820,2825,2770,2775,11921000,33295280000
19991116,2788,2797,2648,2655,23223100,62890828800
19991117,2650,2718,2637,2718,10052500,26899504000
19991118,2720,2758,2678,2702,8446500,22957787200
19991119,2750,2753,2680,2688,5374900,14588712000
19991122,2688,2695,2630,2645,5535400,14708616000
19991123,2645,2655,2610,2645,3843900,10122449600
19991124,2644,2655,2601,2643,4098000,10734446400
19991125,2630,2666,2602,2640,5725200,15052819200
19991126,2643,2666,2615,2645,2282600,6050893600
19991129,2645,2683,2622,2633,2681200,7109957600
19991130,2630,2650,2611,2640,2371300,6233574400
19991201,2631,2690,2621,2660,2865100,7628799200
19991202,2652,2672,2622,2626,1938400,5111024000
19991203,2625,2665,2620,2636,2552500,6729188000
19991206,2630,2635,2560,2566,6983900,18051608000
19991207,2560,2585,2550,2560,3955700,10146790400
